StockCode,ds,yhat,yhat_lower,yhat_upper
85123A,2010-12-01,3589.790743,2109.8942347642883,5182.558669109325
85123A,2011-01-01,3460.7217030054794,1862.8622015257922,5086.937979889036
85123A,2011-02-01,3331.652657823709,1790.6588487169545,4784.002436601419
85123A,2011-03-01,3215.074169518039,1601.9479234321032,4779.183001239152
85123A,2011-04-01,3086.0051265669717,1553.019976803292,4759.061865505706
85123A,2011-05-01,2961.099602090308,1376.622455196644,4498.230573181078
85123A,2011-06-01,2832.0305646594916,1212.7436996013557,4440.508085633993
85123A,2011-07-01,2707.1250454776737,1100.1080603927592,4210.748658261125
85123A,2011-08-01,2578.0560082395177,862.0914983920268,4084.5367922450005
85123A,2011-09-01,2448.9869674699858,795.0305722682322,4102.9380756498795
85123A,2011-10-01,2324.0814474583035,586.5753512298202,3949.6429663485355
85123A,2011-11-01,2195.012410112899,625.5167623957597,3764.8022388951536
85123A,2011-12-01,2070.1068901012172,516.4978423835104,3669.739833878079
85123A,2011-12-31,1945.201370089535,467.9002351493714,3530.380550809059
85123A,2012-01-31,1816.1323327441303,251.81012194099688,3359.0889818114388
85123A,2012-02-29,1695.3903300661711,123.64708465995098,3337.38767552332
85123A,2012-03-31,1566.3212927207665,54.826374771222625,3195.7280336868807
85123A,2012-04-30,1441.4157727090846,-237.45272397189748,3035.807293510892
85123A,2012-05-31,1312.3467353636802,-335.18698745679575,2909.676235465861
71053,2010-12-01,167.322012,75.52698480426595,246.33001653976476
71053,2011-01-01,160.31147079726028,77.13844717050797,245.46772945738311
71053,2011-02-01,153.3009295933877,72.5787796498159,236.74122873159976
71053,2011-03-01,146.96882786228693,71.30141329681346,230.24536728539738
71053,2011-04-01,139.95828666054484,60.122176439830056,218.63022836331476
71053,2011-05-01,133.17389194665418,50.89756135864072,215.9329966443748
71053,2011-06-01,126.16335073821308,45.74621833783138,205.77403292436742
71053,2011-07-01,119.37895601925533,38.44279389015948,200.83461505042243
71053,2011-08-01,112.36841481032792,28.575153807300627,197.22850052280123
71053,2011-09-01,105.35787360111196,20.848800134764385,184.12456150924822
71053,2011-10-01,98.57347888157668,10.592897513538299,174.9042329795
71053,2011-11-01,91.56293767139022,4.997687560875624,174.93131053450537
71053,2011-12-01,84.77854295185493,1.7153910990383425,157.43125573539083
71053,2011-12-31,77.99414823231963,-5.624441521093164,156.09187794437176
71053,2012-01-31,70.98360702213317,-19.700659563402393,152.93786951029583
71053,2012-02-29,64.42535879324906,-18.917043330279764,142.4658197720735
71053,2012-03-31,57.4148175830626,-27.541861933826784,148.24188258798895
71053,2012-04-30,50.630422863527336,-27.216572163520738,138.0506363111288
71053,2012-05-31,43.61988165334086,-42.41568217970449,126.2580811094525
84406B,2010-12-01,241.16885,144.53959045988543,349.203738420476
84406B,2011-01-01,225.24847301369863,118.13174628096012,321.57522443058843
84406B,2011-02-01,209.32809621142198,111.13264663251401,322.7439701085524
84406B,2011-03-01,194.948401493665,78.27249386282347,300.9518072257928
84406B,2011-04-01,179.02802505869798,72.18237233290013,289.18367544821217
84406B,2011-05-01,163.62120870682028,48.842039899931144,270.70436274221106
84406B,2011-06-01,147.70083145606816,46.892107120577876,260.0341083023872
84406B,2011-07-01,132.2940153825463,24.362717472654616,235.96817293207013
84406B,2011-08-01,116.3736381902622,14.554841415347274,222.66568487678532
84406B,2011-09-01,100.45326080205942,0.40960468712154696,210.14724384166766
84406B,2011-10-01,85.04644401411501,-17.524026933108654,192.3559356447899
84406B,2011-11-01,69.12606666657244,-35.289078082271814,171.7115731457585
84406B,2011-12-01,53.71924987862803,-46.08473667893893,162.43552473789256
84406B,2011-12-31,38.31243309068358,-57.469123386492576,142.80087125228317
84406B,2012-01-31,22.392055743141032,-91.8966457418964,127.71749265569044
84406B,2012-02-29,7.498799514794744,-93.33052754143145,114.39127451808784
84406B,2012-03-31,-8.4215778327478,-113.9942435739452,98.6187751297786
84406B,2012-04-30,-23.82839462069218,-125.67904121947579,83.88439833645614
84406B,2012-05-31,-39.74877196823476,-149.37832957358958,66.40833029629471
84029G,2010-12-01,165.71495,-116.39628669936043,456.49054476666635
84029G,2011-01-01,169.82529762602738,-142.22523245488208,464.873526068477
84029G,2011-02-01,173.93564524315005,-128.12142504977922,478.13637779612543
84029G,2011-03-01,177.64821728288388,-106.1208453346884,453.97161740489474
84029G,2011-04-01,181.75856489471767,-117.59984580687511,474.50702931802715
84029G,2011-05-01,185.7363206383707,-100.34648615870687,498.3249877991636
84029G,2011-06-01,189.84666824618566,-121.62270173449672,474.2594660775387
84029G,2011-07-01,193.82442398676315,-118.41563340692369,459.3788905198389
84029G,2011-08-01,197.93477157491392,-79.70821078379063,497.31980926581275
84029G,2011-09-01,202.04511916881373,-126.81376412713966,499.7621514986866
84029G,2011-10-01,206.0228748991215,-74.97323815637046,515.6990911098596
84029G,2011-11-01,210.13322248710614,-86.22207847458525,512.4572886722002
84029G,2011-12-01,214.11097821741384,-79.49391742722102,492.9301944841305
84029G,2011-12-31,218.08873394772155,-99.0515111414704,514.8262125724035
84029G,2012-01-31,222.19908153570623,-56.59781723909396,517.9550114240104
84029G,2012-02-29,226.044245408337,-69.91929374079588,532.4689005235315
84029G,2012-03-31,230.1545929963217,-61.23300634635437,523.051026148748
84029G,2012-04-30,234.1323487266294,-58.98479365178075,541.2306323450694
84029G,2012-05-31,238.24269631461402,-54.45544971767669,535.1825923373896
84029E,2010-12-01,246.18419,-285.94548445831305,799.7578775065185
84029E,2011-01-01,267.2972484,-298.23159151321715,789.7479811655667
84029E,2011-02-01,288.41030679743227,-276.8951333616236,826.852579785134
84029E,2011-03-01,307.4801659821208,-245.13594632804228,873.3197469347618
84029E,2011-04-01,328.5932243795028,-251.21979398397866,858.559003141526
84029E,2011-08-01,411.6833251799404,-148.50319538664553,909.4142747779256
84029E,2011-09-01,432.7963835711595,-122.15641632156897,973.1848949829165
84029E,2011-10-01,453.2283755565889,-82.79603417055525,988.5069566677149
84029E,2011-11-01,474.34143394993896,-94.44611600283665,1000.0410883180016
84029E,2011-12-01,494.77342594350347,-28.46303276739934,1006.8490713636386
84029E,2011-12-31,515.205417937068,1.1524498322878252,1101.5112082639214
84029E,2012-01-31,536.318476330418,-0.24926676984813265,1087.1954814568132
84029E,2012-02-29,556.069401924197,27.05296316094527,1065.2288891153983
84029E,2012-03-31,577.182460317547,28.037880612729154,1087.807010510738
84029E,2012-04-30,597.6144523111114,28.097459897083255,1129.233769330644
84029E,2012-05-31,618.7275107044613,56.76694683570754,1168.4074675006937
22752,2010-12-01,151.54448399999998,-4.9547905111584845,313.1489071606784
22752,2011-01-01,147.50162428273973,-7.836189398047912,315.9171403011703
22752,2011-02-01,143.46001906604792,-12.328498927244729,301.2197731889962
22752,2011-03-01,139.80953696633406,-16.839955351631755,304.0991366340545
22752,2011-04-01,135.76793181378198,-20.96667147583674,282.13094499322443
22752,2011-05-01,131.85670103080963,-33.6666196065592,277.70614663994604
22752,2011-06-01,127.81509588337616,-32.83260833087976,275.2317179275269
22752,2011-07-01,123.90386512326583,-34.71720681694813,274.5014571332069
22752,2011-08-01,119.86226002548527,-39.79878117871924,276.48423671461023
22752,2011-09-01,115.82065495034031,-42.291732040949064,274.71066060414677
22752,2011-10-01,111.90942421978619,-49.11345112066796,259.59034728535687
22752,2011-11-01,107.86781913154691,-42.515967136806154,263.69212516673764
22752,2011-12-01,103.9565884009928,-52.397660597535605,259.53370008583835
22752,2011-12-31,100.04535767043866,-47.640454944392374,240.95571123358232
22752,2012-01-31,96.0037525821994,-61.022497241883634,246.7852235194407
22752,2012-02-29,92.22289620933041,-65.1266801114083,232.44656463909746
22752,2012-03-31,88.18129112109115,-59.199704497608906,240.5250607424322
22752,2012-04-30,84.27006039053704,-72.0419979226514,243.516136126109
22752,2012-05-31,80.22845530229776,-76.37585871599322,229.69200766425084
21730,2010-12-01,65.602784,2.13291610169561,129.95987405117754
21730,2011-01-01,60.96169025753425,-5.9515053123638575,124.39637957812293
21730,2011-02-01,56.32059651593014,-7.398675569366919,119.18061181740256
21730,2011-03-01,52.128640875636286,-11.447891146211926,118.19812538301481
21730,2011-04-01,47.487547130069515,-13.069924487301872,110.36964741759431
21730,2011-05-01,42.99616608330747,-16.168106434563907,109.03325984553004
21730,2011-06-01,38.355072335615,-23.556941538874284,103.88266543025016
21730,2011-07-01,33.863691291705805,-32.97155810107107,103.21425489464566
21730,2011-08-01,29.222597544686785,-35.192072533825915,93.33046301345117
21730,2011-09-01,24.58150379543862,-40.10189208754988,88.92987484277684
21730,2011-10-01,20.09012274835427,-47.605573043677296,82.99974204590644
21730,2011-11-01,15.449028999700435,-50.52446164729866,74.63832729684316
21730,2011-12-01,10.957647952616082,-47.803478500159464,75.18065172138796
21730,2011-12-31,6.466266905531724,-52.0815188572579,67.03291370144669
21730,2012-01-31,1.8251731568778844,-60.66062439387621,66.85987832675681
21730,2012-02-29,-2.516495188636992,-66.957075085882,58.13328400270033
21730,2012-03-31,-7.157588937290821,-67.08350293698791,60.48523698771289
21730,2012-04-30,-11.648969984375167,-74.81610942283271,52.73676662402301
21730,2012-05-31,-16.290063733028994,-76.84364243734741,47.59276947882483
22633,2010-12-01,231.178701,-377.8786868325203,866.2066484106532
22633,2011-03-01,354.5210434109589,-244.65746981291207,928.7536652412626
22633,2011-05-01,438.1197421791284,-174.7742942685488,1010.2354178732885
22633,2011-06-01,480.6043267803858,-125.74395359765654,1069.918072607928
22633,2011-08-01,564.2030254756528,15.664951102238566,1139.7880890466627
